ID	GENE	pert_chr	pert_start	pert_end	TSS_dCas9_prediction	Strand of target	Distance	Distance_stranded
24_CROP_STAU1_rs2252259_dCas9-pegRNA	STAU1	chr20	49046285	49046286	49188334	-	-142049	142049
25_CROP_STAU1_rs3818066_dCas9-pegRNA	STAU1	chr20	49278428	49278429	49188334	-	90094	-90094
26_CROP_TSTD1_rs10908821_dCas9-pegRNA	TSTD1	chr1	161038744	161038745	161038964	-	-220	220
27_CROP_UBE2E1_rs7651576_dCas9-pegRNA	UBE2E1	chr3	23743568	23743569	23805956	+	-62388	-62388
28_CROP_YWHAB_rs6031849_dCas9-pegRNA	YWHAB	chr20	44885695	44885696	44885706	+	-11	-11
29_CROP_YWHAB_rs2072726_dCas9-pegRNA	YWHAB	chr20	44909955	44909956	44885706	+	24249	24249
30_CROP_ATF4_control_PE	ATF4	chr22	39521555	39521556	39520563	+	992	992
31_CROP_SOX11_control_PE	SOX11	chr2	5692807	5692808	5692385	+	422	422
32_CROP_SOX12_control_PE	SOX12	chr20	326724	326725	325553	+	1171	1171
33_CROP_MYH10_control_PE	MYH10	chr17	8622886	8622887	8630725	-	-7839	7839
34_CROP_SOX4_control_PE	SOX4	chr6	21594917	21594918	21593752	+	1165	1165
