ID	Chromosome	Start	End
PTK2	chr8	140657900	140658726
TMEM47	chrX	34627075	34627380
NFE2L3	chr7	26185974	26187137
PTBP3	chr9	112217716	112218927
SPRY4	chr5	142310427	142310621
ZNF711	chrX	85273135	85273362
TUBB6	chr18	12311027	12344320
FADS2	chr11	61867179	61867354
ZNRF1	chr16	75110410	75110994
TTF2	chr1	117107171	117107453
APMAP	chr20	24962925	24963235
SLC25A1	chr22	19175581	19175909
CDC27	chr17	47117703	47120754
CYFIP1	chr15	22867052	22867217
AMD1	chr6	110895424	110898879
FOXM1	chr12	2857680	2857916
KLHL9	chr9	21329665	21331341
CREBBP	chr16	3725054	3725298
SATB1	chr3	18345377	18345704
ZNF350	chr19	51964340	51964577
ZFP1	chr16	75171874	75172236
ZNF615	chr19	51991332	51991645
ID4	chr6	19841902	19842197
FAM8A1	chr6	17611503	17611719
PER2	chr2	238244044	238244341
FKBP7	chr2	178463664	178463929
FHL1	chrX	136211115	136211359
SYNDIG1L	chr14	74405894	74406094
RGS9	chr17	65112832	65227703
FOCAD	chr9	20995632	20995955
FHIP1B	chr11	6211345	6211619
RAB3C	chr5	58851749	58859394
SLC29A3	chr10	71365029	71381423
FNDC10	chr1	1598012	1598250
CSRNP1	chr3	39141855	39142149
SEMA7A	chr15	74409289	74409569
TERT	chr5	1253147	1253407
VAV1	chr19	6854082	6857366
PALB2	chr16	23603160	23603432
VPS37A	chr8	17295233	17302427
RAB42	chr1	28594334	28595449
DYNLT3	chrX	37836757	37839068
SLC16A10	chr6	111225336	111231194
KMT2A	chr11	118526552	118526832
RNF111	chr15	59096797	59097419
LRRFIP2	chr3	37052626	37053233
MAPK13	chr6	36144310	36144524
SSX2IP	chr1	84643706	84645259
REXO5	chr16	20846325	20849665
BASP1	chr5	17276307	17276843
SRSF2	chr17	76734115	76734386
L1TD1	chr1	62211324	62212328
RPL23	chr17	38847860	38850300
PARK7	chr1	7984956	7985505
SNRPN	chr15	24978305	24978723
PTGES3	chr12	56663341	56663607
SAP18	chr13	21147318	21149097
RPS2	chr16	1962058	1962282
ERP29	chr12	112022772	112023449
ATP5MC3	chr2	175176258	175178404
PGK1	chrX	78126561	78129295
PSMD1	chr2	231170637	231173116
NR6A1	chr9	124517275	124517494
NOP53	chr19	47756679	47757058
SLC25A3	chr12	98606085	98606379
ENAH	chr1	225486765	225487053
HMGB3	chrX	150988506	150990771
ATP5F1A	chr18	46080248	46084399
LAPTM4B	chr8	97852353	97853013
NCL	chr2	231453531	231455192
ERH	chr14	69380128	69380375
GSTP1	chr11	67586395	67586656
CTNNB1	chr3	41240231	41260096
RPS15A	chr16	18781295	18783200
PRMT1	chr19	49688166	49689029
SLC16A1	chr1	112911847	112912551
CCND2	chr12	4305077	4305353
RPL5	chr1	92837610	92841924
PHGDH	chr1	119743929	119744218
POLR2E	chr19	1086574	1087280
SMARCA4	chr19	11061990	11079426
H3-3B	chr17	75776434	75777714
GPI	chr19	34402187	34402413
CBX3	chr7	26213107	26213607
DPPA4	chr3	109326144	109326559
EIF3A	chr10	119033670	119035306
EIF2S3	chrX	24077015	24078810
CNBP	chr3	129167827	129169773
MSH2	chr2	47482940	47663146
CRABP1	chr15	78347915	78348225
TRA2B	chr3	185914558	185916985
PABPC1	chr8	100685816	100703221
DNMT3B	chr20	32809133	32809359
LARP1	chr5	154817332	154817605
THY1	chr11	119415476	119418506
FAU	chr11	65120630	65120912
HACD3	chr15	65578041	65578349
HNRNPAB	chr5	178210917	178211163
RBM39	chr20	35701347	35703832
OAZ2	chr15	64687573	64687854
GNAS	chr20	58910941	58911192
SMARCC1	chr3	47585269	47586251
PKM	chr15	72199029	72199235
SNRPD3	chr22	24568079	24582052
KHSRP	chr19	6413102	6413585
EIF4G2	chr11	10797050	10797287
ATP5IF1	chr1	28237905	28246906
MFGE8	chr15	88898683	88898975
ARID3B	chr15	74597825	74598131
APLP2	chr11	130144557	130144811
HMGN3	chr6	79201245	79201546
BCAT1	chr12	24810024	24811663
RCC2	chr1	17406760	17407016
HIP1	chr7	75533298	75533609
KLC1	chr14	103704989	103714249
HADH	chr4	108034946	108035241
SSR4	chrX	153798233	153798499
ZFP82	chr19	36383120	36383308
PRKD2	chr19	46674275	46674646
EAPP	chr14	34515938	34516324
IMPDH2	chr3	49024325	49024545
CBR1	chr21	36072928	36073166
WDR82	chr3	52254434	52254747
ZNF638	chr2	71434793	71435069
TENT5B	chr1	27005020	27005315
PSENEN	chr19	35746675	35747519
H1-0	chr22	37807088	37807432
SURF1	chr9	133351758	133352094
RTCB	chr22	32387582	32387912
KRT8	chr12	52897187	52897480
MAN1A2	chr1	117528667	117528872
RPUSD3	chr3	9837849	9838144
ZPR1	chr11	116773799	116777984
CDS2	chr20	5197618	5197887
NCAPG	chr4	17842331	17844865
GJC1	chr17	44798448	44798705
RNF44	chr5	176526712	176527041
SNX5	chr20	17941597	17941909
ZNF217	chr20	53567071	53567358
ZKSCAN1	chr7	100041450	100041689
NANS	chr9	98081076	98083077
DDX52	chr17	37609739	37609965
PNRC2	chr1	23963210	23963462
ING1	chr13	110720759	110723339
UBE2E2	chr3	23590320	23591794
RSU1	chr10	16590611	16590830
IVNS1ABP	chr1	185296388	185296720
ZNF652	chr17	49289206	49289524
ZNF608	chr5	124636913	124648114
C1orf35	chr1	228100726	228100939
SLX9	chr21	44973250	44976989
C17orf58	chr17	67991099	67991417
CNIH4	chr1	224379182	224379459
PSME2	chr14	24143362	24143570
RRM2B	chr8	102204502	102204881
RPAP3	chr12	47661249	47662193
NUDCD1	chr8	109240919	109242960
AUP1	chr2	74526645	74527035
NUDT11	chrX	51490011	51490347
LAMA1	chr18	6941742	6942141
SPTBN1	chr2	54669985	54671446
GLYR1	chr16	4803203	4803416
POLR3K	chr16	46407	47263
FAM107B	chr10	14518557	14518860
KIAA1143	chr3	44737661	44749067
AKAP8	chr19	15353385	15353734
RBM15	chr1	110346483	110346681
ACBD6	chr1	180269653	180275029
SNRPE	chr1	203865112	203871152
PIAS1	chr15	68193653	68198603
DGCR2	chr22	19036282	19036496
CHP1	chr15	41281578	41281887
MRPS35	chr12	27756023	27756295
SNRNP200	chr2	96274338	96275057
STUB1	chr16	682460	682870
PAPSS1	chr4	107590276	107613870
PDCD10	chr3	167683298	167684182
ZNHIT6	chr1	85649417	85651310
CHID1	chr11	867859	868627
USP42	chr7	6161260	6161564
ZNF678	chr1	227662159	227677443
PPP2R2B	chr5	146580742	146589800
DGKD	chr2	233471839	233472104
C14orf93	chr14	22985894	22987126
NDUFAF6	chr8	95058503	95116455
PTPRE	chr10	128085465	128085855
ACACB	chr12	109267961	109268226
CILP2	chr19	19546386	19546659
GSTA4	chr6	52977948	52978212
GLS2	chr12	56470944	56471257
SRPRA	chr11	126262938	126263217
TNFAIP1	chr17	28346745	28347009
ADM5	chr19	49690294	49690575
CHRDL1	chrX	110673856	110674126
GRIN2B	chr12	13437942	13540510
NAMPT	chr7	106248298	106248578
SYT11	chr1	155884935	155885199
MORC3	chr21	36376425	36386148
ZNF174	chr16	3409107	3409364
PARP8	chr5	50846272	50846519
SRPX	chrX	38149336	38149660
NPRL2	chr3	50347330	50347852
RGMB	chr5	98796344	98798643
RAPGEF3	chr12	47734363	47737508
CPT1C	chr19	49713488	49713731
ANGEL2	chr1	212992182	212992469
C10orf88	chr10	122930901	122931183
NDE1	chr16	15726117	15734691
NCAN	chr19	19251994	19252233
DUSP14	chr17	37513183	37513501
RND1	chr12	48857145	48857406
FIBCD1	chr9	130902438	130902745
UHRF1	chr19	4961933	4962154
JAK1	chr1	64833223	64833519
PRMT9	chr4	147637785	147638658
CC2D2A	chr4	15599689	15601552
B3GALNT2	chr1	235447190	235447424
ERVK3-1	chr19	58315373	58316812
UHRF2	chr9	6506810	6507054
MLX	chr17	42572425	42573239
HAS3	chr16	69117360	69118719
ZNF597	chr16	3432414	3432741
PCMTD1	chr8	51817575	51817915
MRPL39	chr21	25585656	25592868
MAP4K3	chr2	39249266	39249540
ACVR1C	chr2	157526767	157527009
RPP38	chr10	15104041	15139818
DNAJC24	chr11	31432527	31432835
PYGB	chr20	25297684	25298012
ABRAXAS1	chr4	83459517	83459803
POLL	chr10	101578882	101579149
SCAPER	chr15	76347904	76348526
C8orf82	chr8	144525733	144526500
ANKRD42	chr11	83260341	83260694
LRRC4	chr7	128027071	128027351
TESK1	chr9	35609755	35610041
TVP23A	chr16	10760919	10768103
MCAT	chr22	43132209	43133092
GNAO1	chr16	56357211	56357444
SIAH1	chr16	48356364	48361518
THEM6	chr8	142736731	142736927
CAB39L	chr13	49308650	49308924
ARSK	chr5	95604767	95605102
TAF5	chr10	103388964	103389065
COL7A1	chr3	48564073	48564324
RSPH3	chr6	158972871	158973082
EME1	chr17	50381296	50381483
TRIM23	chr5	65589690	65590297
ATF5	chr19	49933680	49933935
KLF12	chr13	73686089	73686340
MEIOC	chr17	44690032	44690308
CLK4	chr5	178602664	178602866
ZNF561	chr19	9604680	9607660
