Chromosome	Start	End	ID	ID_full	Start_Amp	End_Amp
chr11	62841897	62842140	AMPL777395	NOEG_AMPL777395_pELS	1	244
chr11	93477776	93477981	AMPL777406	NOEG_AMPL777406_pELS	1	206
chr11	116709933	116710152	AMPL777413	NOEG_AMPL777413_DNase_only	1	220
chr11	122579970	122580211	AMPL779510	NOEG_AMPL779510_DNase_only	1	242
chr11	130440218	130440439	AMPL779512	NOEG_AMPL779512_low_DNase	1	222
chr12	11071558	11071795	AMPL779519	NOEG_AMPL779519_DNase_only	1	238
chr12	47068657	47068857	AMPL777430	NOEG_AMPL777430_DNase_only	1	201
chr12	48296506	48296710	AMPL777433	NOEG_AMPL777433_H3K4	1	205
chr12	51863939	51864135	AMPL779527	NOEG_AMPL779527_dELS	1	197
chr12	56007106	56007338	AMPL777437	NOEG_AMPL777437_pELS	1	233
chr12	75390831	75391070	AMPL777441	NOEG_AMPL777441_PLS	1	240
chr12	106769013	106769230	AMPL779540	NOEG_AMPL779540_dELS	1	218
chr12	127594705	127594924	AMPL777454	NOEG_AMPL777454_dELS	1	220
chr12	131875655	131875875	AMPL779544	NOEG_AMPL779544_low_DNase	1	221
chr13	20566548	20566752	AMPL777455	NOEG_AMPL777455_pELS	1	205
chr13	26529571	26529776	AMPL777457	NOEG_AMPL777457_DNase_only	1	206
chr13	40921563	40921776	AMPL779553	NOEG_AMPL779553_PLS	1	214
chr13	99979004	99979258	AMPL777468	NOEG_AMPL777468_dELS	1	255
chr13	102846013	102846234	AMPL779559	NOEG_AMPL779559_PLS	1	222
chr14	24691658	24691875	AMPL779566	NOEG_AMPL779566_low_DNase	1	218
chr14	38190376	38190580	AMPL779568	NOEG_AMPL779568_pELS	1	205
chr14	64880649	64880888	AMPL779576	NOEG_AMPL779576_H3K4	1	240
chr14	73633544	73633767	AMPL777483	NOEG_AMPL777483_PLS	1	224
chr14	87150206	87150436	AMPL779580	NOEG_AMPL779580_DNase_only	1	231
chr14	102524441	102524676	AMPL779583	NOEG_AMPL779583_H3K4	1	236
chr14	103206897	103207144	AMPL777491	NOEG_AMPL777491_H3K4	1	248
chr15	26082172	26082402	AMPL779588	NOEG_AMPL779588_dELS	1	231
chr15	27994541	27994759	AMPL779589	NOEG_AMPL779589_low_DNase	1	219
chr15	35548004	35548253	AMPL779590	NOEG_AMPL779590_pELS	1	250
chr15	81133966	81134225	AMPL777501	NOEG_AMPL777501_PLS	1	260
chr16	3180478	3180689	AMPL779602	NOEG_AMPL779602_H3K4	1	212
chr16	3188303	3188510	AMPL777513	NOEG_AMPL777513_H3K4	1	208
chr16	22195819	22196058	AMPL779606	NOEG_AMPL779606_H3K4	1	240
chr16	84266468	84266705	AMPL779615	NOEG_AMPL779615_DNase_only	1	238
chr17	5700004	5700220	AMPL777538	NOEG_AMPL777538_dELS	1	217
chr17	15341702	15341941	AMPL777543	NOEG_AMPL777543_PLS	1	240
chr17	15491001	15491213	AMPL779626	NOEG_AMPL779626_dELS	1	213
chr17	17350455	17350697	AMPL777545	NOEG_AMPL777545_DNase_only	1	243
chr17	34157744	34157956	AMPL777548	NOEG_AMPL777548_pELS	1	213
chr17	34616273	34616476	AMPL777549	NOEG_AMPL777549_DNase_only	1	204
chr17	38609471	38609675	AMPL779632	NOEG_AMPL779632_dELS	1	205
chr17	39153711	39153945	AMPL779634	NOEG_AMPL779634_pELS	1	235
chr17	43315768	43315989	AMPL777554	NOEG_AMPL777554_dELS	1	222
chr17	67321972	67322219	AMPL779644	NOEG_AMPL779644_DNase_only	1	248
chr17	68034228	68034457	AMPL777561	NOEG_AMPL777561_pELS	1	230
chr17	81488870	81489066	AMPL779649	NOEG_AMPL779649_low_DNase	1	197
chr18	45978054	45978269	AMPL779654	NOEG_AMPL779654_dELS	1	216
chr18	54246989	54247193	AMPL777571	NOEG_AMPL777571_dELS	1	205
chr19	10569654	10569849	AMPL779668	NOEG_AMPL779668_pELS	1	196
chr19	33176973	33177215	AMPL777596	NOEG_AMPL777596_pELS	1	243
chr19	38335554	38335794	AMPL777599	NOEG_AMPL777599_PLS	1	241
chr19	38336671	38336888	AMPL777600	NOEG_AMPL777600_H3K4	1	218
chr19	38337127	38337364	AMPL779682	NOEG_AMPL779682_H3K4	1	238
chr19	44808087	44808312	AMPL777604	NOEG_AMPL777604_pELS	1	226
chr19	45886278	45886525	AMPL779685	NOEG_AMPL779685_pELS	1	248
chr19	46077401	46077608	AMPL777608	NOEG_AMPL777608_H3K4	1	208
chr19	55587407	55587663	AMPL779695	NOEG_AMPL779695_H3K4	1	257
chr19	56080746	56080970	AMPL777613	NOEG_AMPL777613_H3K4	1	225
chr20	1225356	1225617	AMPL777616	NOEG_AMPL777616_H3K4	1	262
chr20	23357978	23358182	AMPL777619	NOEG_AMPL777619_PLS	1	205
chr20	38727506	38727710	AMPL779704	NOEG_AMPL779704_H3K4	1	205
chr20	59078283	59078482	AMPL779712	NOEG_AMPL779712_low_DNase	1	200
chr20	63071553	63071788	AMPL777627	NOEG_AMPL777627_H3K4	1	236
chr22	39546001	39546209	AMPL777640	NOEG_AMPL777640_DNase_only	1	209
chr22	41232574	41232785	AMPL779726	NOEG_AMPL779726_low_DNase	1	212
chr22	50199997	50200209	AMPL777641	NOEG_AMPL777641_H3K4	1	213
chr1	6052548	6052773	AMPL778425	OEG_AMPL778425_DNase_only	1	226
chr1	9792634	9792869	AMPL778426	OEG_AMPL778426_DNase_only	1	236
chr1	11262524	11262720	AMPL778427	OEG_AMPL778427_H3K4	1	197
chr1	14136408	14136645	AMPL778429	OEG_AMPL778429_dELS	1	238
chr1	26552785	26553021	AMPL778431	OEG_AMPL778431_low_DNase	1	237
chr1	28088184	28088425	AMPL778432	OEG_AMPL778432_PLS	1	242
chr1	44408557	44408812	AMPL778435	OEG_AMPL778435_H3K4	1	256
chr1	44775228	44775481	AMPL778436	OEG_AMPL778436_PLS	1	254
chr1	53238420	53238623	AMPL778437	OEG_AMPL778437_PLS	1	204
chr1	62435910	62436158	AMPL778438	OEG_AMPL778438_PLS	1	249
chr1	64952039	64952278	AMPL778440	OEG_AMPL778440_low_DNase	1	240
chr1	108747494	108747727	AMPL778442	OEG_AMPL778442_pELS	1	234
chr1	202810554	202810793	AMPL778449	OEG_AMPL778449_PLS	1	240
chr1	203626527	203626735	AMPL778450	OEG_AMPL778450_PLS	1	209
chr1	204080165	204080375	AMPL778451	OEG_AMPL778451_dELS	1	211
chr2	74178974	74179220	AMPL778458	OEG_AMPL778458_PLS	1	247
chr2	134918064	134918308	AMPL778463	OEG_AMPL778463_pELS	1	245
chr2	172437138	172437342	AMPL778465	OEG_AMPL778465_low_DNase	1	205
chr2	218287093	218287297	AMPL778469	OEG_AMPL778469_DNase_only	1	205
chr2	218324033	218324279	AMPL778470	OEG_AMPL778470_pELS	1	247
chr2	219507395	219507645	AMPL778472	OEG_AMPL778472_dELS	1	251
chr2	231463661	231463919	AMPL778474	OEG_AMPL778474_pELS	1	259
chr2	237591196	237591400	AMPL778477	OEG_AMPL778477_PLS	1	205
chr3	9552298	9552507	AMPL778478	OEG_AMPL778478_H3K4	1	210
chr3	11600609	11600842	AMPL778479	OEG_AMPL778479_dELS	1	234
chr3	32837688	32837882	AMPL778481	OEG_AMPL778481_dELS	1	195
chr3	105674755	105674987	AMPL778484	OEG_AMPL778484_low_DNase	1	233
chr3	122977903	122978135	AMPL778485	OEG_AMPL778485_DNase_only	1	233
chr3	123373326	123373534	AMPL778486	OEG_AMPL778486_low_DNase	1	209
chr3	129388199	129388408	AMPL778487	OEG_AMPL778487_low_DNase	1	210
chr3	179667113	179667351	AMPL778490	OEG_AMPL778490_low_DNase	1	239
chr3	185582714	185582949	AMPL778493	OEG_AMPL778493_dELS	1	236
chr4	76148360	76148608	AMPL778496	OEG_AMPL778496_PLS	1	249
chr4	78059631	78059835	AMPL778497	OEG_AMPL778497_H3K4	1	205
chr4	151324504	151324735	AMPL778502	OEG_AMPL778502_pELS	1	232
chr4	182918051	182918258	AMPL778505	OEG_AMPL778505_H3K4	1	208
chr4	188108047	188108278	AMPL778507	OEG_AMPL778507_pELS	1	232
chr5	43064935	43065165	AMPL778511	OEG_AMPL778511_dELS	1	231
chr5	58760240	58760462	AMPL778514	OEG_AMPL778514_low_DNase	1	223
chr5	66144012	66144253	AMPL778515	OEG_AMPL778515_PLS	1	242
chr5	69093697	69093896	AMPL778516	OEG_AMPL778516_PLS	1	200
chr5	107557406	107557610	AMPL778518	OEG_AMPL778518_DNase_only	1	205
chr5	144170096	144170300	AMPL778523	OEG_AMPL778523_low_DNase	1	205
chr5	157731187	157731430	AMPL778525	OEG_AMPL778525_pELS	1	244
chr6	13422603	13422830	AMPL778529	OEG_AMPL778529_dELS	1	228
chr6	30717604	30717816	AMPL778531	OEG_AMPL778531_pELS	1	213
chr6	30886193	30886427	AMPL778532	OEG_AMPL778532_pELS	1	235
chr6	31172680	31172913	AMPL778533	OEG_AMPL778533_dELS	1	234
chr6	38058052	38058256	AMPL778537	OEG_AMPL778537_low_DNase	1	205
chr6	143537413	143537672	AMPL778543	OEG_AMPL778543_H3K4	1	260
chr6	143537681	143537939	AMPL778544	OEG_AMPL778544_low_DNase	1	259
chr6	157552456	157552678	AMPL778546	OEG_AMPL778546_dELS	1	223
chr6	159760652	159760890	AMPL778547	OEG_AMPL778547_pELS	1	239
chr6	159790236	159790443	AMPL778548	OEG_AMPL778548_PLS	1	208
chr7	6707044	6707257	AMPL778549	OEG_AMPL778549_PLS	1	214
chr7	10939916	10940151	AMPL778550	OEG_AMPL778550_pELS	1	236
chr7	47537523	47537727	AMPL778552	OEG_AMPL778552_H3K4	1	205
chr7	74365492	74365724	AMPL778553	OEG_AMPL778553_DNase_only	1	233
chr8	10734259	10734458	AMPL778561	OEG_AMPL778561_H3K4	1	200
chr8	10734460	10734715	AMPL778562	OEG_AMPL778562_H3K4	1	256
chr8	18942586	18942825	AMPL778564	OEG_AMPL778564_low_DNase	1	240
chr8	63039425	63039658	AMPL778569	OEG_AMPL778569_H3K4	1	234
chr8	94373374	94373579	AMPL778570	OEG_AMPL778570_low_DNase	1	206
chr8	127809394	127809619	AMPL778573	OEG_AMPL778573_dELS	1	226
chr9	15213367	15213589	AMPL778576	OEG_AMPL778576_low_DNase	1	223
chr9	38026114	38026318	AMPL778579	OEG_AMPL778579_DNase_only	1	205
chr9	109120047	109120254	AMPL778581	OEG_AMPL778581_PLS	1	208
chr9	126422006	126422216	AMPL778582	OEG_AMPL778582_DNase_only	1	211
chr10	99732475	99732672	AMPL778590	OEG_AMPL778590_pELS	1	198
chr10	100364927	100365136	AMPL778591	OEG_AMPL778591_DNase_only	1	210
chr10	102461881	102462120	AMPL778593	OEG_AMPL778593_H3K4	1	240
chr10	102504282	102504479	AMPL778594	OEG_AMPL778594_H3K4	1	198
chr10	117364068	117364272	AMPL778595	OEG_AMPL778595_low_DNase	1	205
chr10	124565482	124565703	AMPL778597	OEG_AMPL778597_DNase_only	1	222
chr11	820123	820355	AMPL778599	OEG_AMPL778599_H3K4	1	233
chr11	944616	944850	AMPL778600	OEG_AMPL778600_dELS	1	235
chr11	954584	954791	AMPL778601	OEG_AMPL778601_low_DNase	1	208
chr11	5684901	5685106	AMPL778602	OEG_AMPL778602_PLS	1	206
chr11	19816833	19817061	AMPL778605	OEG_AMPL778605_dELS	1	229
chr11	44944343	44944586	AMPL778606	OEG_AMPL778606_DNase_only	1	244
chr11	72814853	72815072	AMPL778611	OEG_AMPL778611_pELS	1	220
chr12	4331871	4332075	AMPL778618	OEG_AMPL778618_low_DNase	1	205
chr12	28250858	28251070	AMPL778620	OEG_AMPL778620_low_DNase	1	213
chr12	48002056	48002283	AMPL778621	OEG_AMPL778621_H3K4	1	228
chr12	48119090	48119346	AMPL778622	OEG_AMPL778622_PLS	1	257
chr12	57086426	57086648	AMPL778623	OEG_AMPL778623_dELS	1	223
chr12	57462553	57462776	AMPL778624	OEG_AMPL778624_dELS	1	224
chr12	69359970	69360174	AMPL778625	OEG_AMPL778625_pELS	1	205
chr12	78914832	78915033	AMPL778626	OEG_AMPL778626_DNase_only	1	202
chr12	119153864	119154070	AMPL778628	OEG_AMPL778628_dELS	1	207
chr12	120437762	120438010	AMPL778630	OEG_AMPL778630_PLS	1	249
chr12	121016418	121016619	AMPL778631	OEG_AMPL778631_PLS	1	202
chr12	132561364	132561553	AMPL778633	OEG_AMPL778633_dELS	1	190
chr13	27079479	27079711	AMPL778634	OEG_AMPL778634_DNase_only	1	233
chr13	32315798	32316012	AMPL778635	OEG_AMPL778635_pELS	1	215
chr13	35478369	35478618	AMPL778636	OEG_AMPL778636_H3K4	1	250
chr13	51168496	51168738	AMPL778642	OEG_AMPL778642_dELS	1	243
chr13	75480789	75481031	AMPL778643	OEG_AMPL778643_H3K4	1	243
chr14	74706646	74706878	AMPL778652	OEG_AMPL778652_low_DNase	1	233
chr14	75002770	75002996	AMPL778653	OEG_AMPL778653_PLS	1	227
chr14	75911883	75912122	AMPL778655	OEG_AMPL778655_DNase_only	1	240
chr15	22949105	22949334	AMPL778660	OEG_AMPL778660_DNase_only	1	230
chr15	24859072	24859278	AMPL778661	OEG_AMPL778661_dELS	1	207
chr15	29883169	29883389	AMPL778662	OEG_AMPL778662_DNase_only	1	221
chr15	57385939	57386153	AMPL778663	OEG_AMPL778663_dELS	1	215
chr15	66474059	66474269	AMPL778665	OEG_AMPL778665_dELS	1	211
chr15	88894489	88894710	AMPL778667	OEG_AMPL778667_H3K4	1	222
chr16	3098494	3098741	AMPL778671	OEG_AMPL778671_pELS	1	248
chr16	11312808	11313050	AMPL778673	OEG_AMPL778673_dELS	1	243
chr16	57736406	57736647	AMPL778676	OEG_AMPL778676_H3K4	1	242
chr17	1115127	1115340	AMPL778683	OEG_AMPL778683_DNase_only	1	214
chr17	8248862	8249066	AMPL778685	OEG_AMPL778685_pELS	1	205
chr17	8383209	8383468	AMPL778686	OEG_AMPL778686_PLS	1	260
chr17	17281400	17281628	AMPL778687	OEG_AMPL778687_PLS	1	229
chr17	31469922	31470181	AMPL778691	OEG_AMPL778691_DNase_only	1	260
chr17	38752268	38752495	AMPL778692	OEG_AMPL778692_PLS	1	228
chr17	64224449	64224679	AMPL778694	OEG_AMPL778694_low_DNase	1	231
chr17	79365432	79365643	AMPL778697	OEG_AMPL778697_low_DNase	1	212
chr17	80932002	80932207	AMPL778698	OEG_AMPL778698_DNase_only	1	206
chr17	81513454	81513648	AMPL778699	OEG_AMPL778699_pELS	1	195
chr17	81518372	81518585	AMPL778700	OEG_AMPL778700_H3K4	1	214
chr18	59697513	59697762	AMPL778706	OEG_AMPL778706_H3K4	1	250
chr19	2591887	2592114	AMPL778707	OEG_AMPL778707_low_DNase	1	228
chr19	3244104	3244323	AMPL778708	OEG_AMPL778708_DNase_only	1	220
chr19	4724553	4724766	AMPL778709	OEG_AMPL778709_H3K4	1	214
chr19	5791101	5791323	AMPL778710	OEG_AMPL778710_PLS	1	223
chr19	17403595	17403858	AMPL778713	OEG_AMPL778713_dELS	1	264
chr19	19032564	19032777	AMPL778715	OEG_AMPL778715_pELS	1	214
chr19	38003782	38004013	AMPL778717	OEG_AMPL778717_dELS	1	232
chr19	39435659	39435918	AMPL778718	OEG_AMPL778718_PLS	1	260
chr19	40750445	40750663	AMPL778721	OEG_AMPL778721_PLS	1	219
chr19	45478364	45478608	AMPL778725	OEG_AMPL778725_pELS	1	245
chr19	45492598	45492852	AMPL778726	OEG_AMPL778726_pELS	1	255
chr19	48204278	48204507	AMPL778729	OEG_AMPL778729_pELS	1	230
chr19	48399015	48399231	AMPL778730	OEG_AMPL778730_H3K4	1	217
chr19	52139056	52139269	AMPL778731	OEG_AMPL778731_pELS	1	214
chr20	10523840	10524079	AMPL778739	OEG_AMPL778739_DNase_only	1	240
chr20	18473502	18473711	AMPL778742	OEG_AMPL778742_low_DNase	1	210
chr20	47786079	47786289	AMPL778745	OEG_AMPL778745_H3K4	1	211
chr20	49046786	49047026	AMPL778746	OEG_AMPL778746_pELS	1	241
chr20	58669405	58669594	AMPL778748	OEG_AMPL778748_dELS	1	190
chr20	61530615	61530820	AMPL778749	OEG_AMPL778749_DNase_only	1	206
chr22	21643279	21643476	AMPL778752	OEG_AMPL778752_H3K4	1	198
chr22	21687035	21687294	AMPL778753	OEG_AMPL778753_low_DNase	1	260
chr22	24157107	24157297	AMPL778754	OEG_AMPL778754_H3K4	1	191
chr22	25110891	25111096	AMPL778755	OEG_AMPL778755_pELS	1	206
chr22	26552558	26552770	AMPL778756	OEG_AMPL778756_low_DNase	1	213
chr22	42273925	42274125	AMPL778759	OEG_AMPL778759_DNase_only	1	201
chr22	42717222	42717474	AMPL778760	OEG_AMPL778760_DNase_only	1	253
chr22	45216771	45216990	AMPL778763	OEG_AMPL778763_DNase_only	1	220
