ID	Chromosome	Start	End
HSPA1B	chr6	31829904	31830254
HSPA6	chr1	161526520	161526894
ICAM1	chr19	10286261	10286615
ID2	chr2	8684021	8684461
IER5	chr1	181090898	181092900
IFI27	chr14	94116448	94116695
IFI30	chr19	18177681	18178117
IFI44L	chr1	78645616	78646145
IGF1	chr12	102395874	102396460
IGHA1	chr14	105703995	105707253
IGHD	chr14	105836765	105837091
IGHE	chr14	105597691	105600296
IGHG1	chr14	105736343	105741649
IGHG2	chr14	105639559	105639857
IGHG3	chr14	105764503	105764827
IGHM	chr14	105851705	105852235
IGHV1-69	chr14	106714684	106714947
IGHV2-5	chr14	106037902	106038029
IGHV2-70	chr14	106770577	106770687
IGHV3-21	chr14	106235064	106235581
IGHV3-23	chr14	106268606	106268809
IGHV3-35	chr14	106389392	106389828
IGHV3-43	chr14	106470264	106470406
IGHV3-48	chr14	106537810	106538340
IGHV4-31	chr14	106349283	106349490
IGHV4-34	chr14	106373663	106373789
IGHV4-39	chr14	106421711	106421950
IGKC	chr2	88857161	88857557
IGKV1-5	chr2	88947301	88947864
IGKV3-20	chr2	89142574	89142791
IGKV4-1	chr2	88885917	88886153
IGLC1_IGLL5	chr22	22895535	22895834
IGLC2	chr22	22901104	22901437
IGLC3	chr22	22906360	22906803
IGLC7	chr22	22922754	22923034
IGLJ3	chr22	22904907	22905025
IGLL1	chr22	23573125	23573486
IGLV3-1	chr22	22881296	22881396
IGLV5-48	chr22	22353337	22353433
IL4I1	chr19	49889654	49889994
IL7R	chr5	35876511	35879603
IRF4	chr6	411146	411443
ISG15	chr1	1014202	1014540
JCHAIN	chr4	70655541	70655925
KCNK12	chr2	47509290	47516814
KIF14	chr1	200551497	200551840
KIF23	chr15	69448124	69448427
KIF2C	chr1	44767367	44767767
KLF2	chr19	16327534	16328685
KMT2D	chr12	49018975	49019349
KPNA2	chr17	68046554	68047364
LCP1	chr13	46125920	46126277
LGALS1	chr22	37678527	37679802
LINC01781	chr1	80644249	80646854
LINC02901	chr6	158910097	158919105
LMO2	chr11	33858576	33858919
LTB	chr6	31580525	31580855
MEF2B	chr19	19145567	19145953
MIR155HG	chr21	25574807	25575168
MIR4435-2HG	chr2	111006015	111131632
MKI67	chr10	128096659	128098266
MME	chr3	155183345	155183704
MS4A1	chr11	60469743	60470752
MT1E	chr16	56626785	56627112
MT2A	chr16	56609154	56609497
MXD3	chr5	177301461	177306264
MYC	chr8	127741051	127742951
MZB1	chr5	139387467	139387838
NDC80	chr18	2608812	2616635
NEK2	chr1	211658657	211663099
NFKB1	chr4	102616904	102617302
NFKB2	chr10	102402128	102402524
NUF2	chr1	163355389	163355764
NUSAP1	chr15	41349202	41381050
OSTN	chr3	191218774	191265615
P2RY13	chr3	151326312	151328282
PAX5	chr9	36833269	36833646
PCLAF	chr15	64364304	64365949
PFN1	chr17	4945652	4945977
PIF1	chr15	64815632	64815930
PIM1	chr6	37175112	37175428
PLK1	chr16	23690054	23690367
PLPP5	chr8	38263130	38263400
POU2AF1	chr11	111352255	111352604
PRC1	chr15	90966040	90966414
PRDM1	chr6	106108654	106109939
PRDX1	chr1	45510914	45511345
PRDX4	chrX	23679260	23686397
PTMS	chr12	6770629	6770952
PTPN6	chr12	6960858	6961316
PTTG1	chr5	160424270	160428739
RAN	chr12	130875939	130877678
RASD1	chr17	17494437	17494831
RASL11A	chr13	27273365	27275192
REL	chr2	60931266	60931612
RELB	chr19	45037855	45038192
RGCC	chr13	41470572	41470871
RGS1	chr1	192579712	192580024
RNASE4	chr14	20700254	20701216
RPL11	chr1	23695682	23696835
RPL13	chr16	89562818	89564542
RPL18	chr19	48615328	48616086
RPL19	chr17	39204445	39204840
RPL22L1	chr3	170864875	170868101
RPL26	chr17	8377516	8379811
RPL28	chr19	55388149	55389553
RPL30	chr8	98024851	98042827
RPL35A	chr3	197953908	197956610
RPL37	chr5	40825262	40828028
RPL41	chr12	56117549	56117967
RPL7A	chr9	133350890	133351426
RPLP1	chr15	69455124	69456205
RPLP2	chr11	812448	812880
RPS14	chr5	150442635	150444515
RPS15	chr19	1440315	1440495
RPS15A	chr16	18781295	18783200
RPS23	chr5	82273320	82276297
RPS25	chr11	119015712	119017601
RRAGC	chr1	38838198	38838565
RRM2	chr2	10131043	10211725
S100A1	chr1	153631711	153632039
S100A10	chr1	151982915	151983240
SEC11C	chr18	59155778	59158832
SELL	chr1	169690665	169690965
SERPINF1	chr17	1777226	1777565
SGK1	chr6	134169248	134169557
SH3TC1	chr4	8240772	8241803
SLA	chr8	133036728	133037103
SLAMF1	chr1	160608106	160610377
SLC2A3	chr12	7919230	7919539
SOCS1	chr16	11254417	11254683
SSR4	chrX	153798233	153798499
STAG3	chr7	100221137	100221488
STMN1	chr1	25884181	25900459
SUGCT	chr7	40860407	40860763
SUSD3	chr9	93084800	93085133
TBL1XR1	chr3	177019340	177021049
TCL1A	chr14	95709947	95710435
TFPI2	chr7	93885396	93886744
TK1	chr17	78174091	78174422
TMEM106C	chr12	47968584	47968878
TMSB10	chr2	84906435	84906671
TNF	chr6	31578071	31578336
TNFAIP2	chr14	103137070	103137439
TNFRSF13B	chr17	16929816	16939378
TNFRSF14	chr1	2563456	2565382
TNFRSF17	chr16	11967740	11968068
TNFSF9	chr19	6535634	6535924
TOP2A	chr17	40388525	40388784
TP53	chr17	7661779	7668689
TPX2	chr20	31801417	31801805
TRAF1	chr9	120902393	120904332
TRIB3	chr20	397200	397559
TROAP	chr12	49324110	49331731
TSPYL2	chrX	53083181	53088540
TUBA1B	chr12	49127782	49128050
TUBA1C	chr12	49273014	49274600
TUBB	chr6	30725167	30725538
TUBB2A	chr6	3153497	3153960
TUBB4B	chr9	137243446	137243707
TXNDC5	chr6	7881517	7881861
TXNIP	chr1	145992435	145992819
UBA52	chr19	18575045	18577550
UBE2C	chr20	45815679	45816957
UBE2L6	chr11	57551656	57552009
UBE2S	chr19	55400200	55401583
VMA21	chrX	151409065	151409364
WNT11	chr11	76186325	76186541
XBP1	chr22	28794555	28794915
YBX1	chr1	42702060	42703805
ZNF608	chr5	124636913	124648352
