target,chr,start,end,bases_covered,bases_missed,coverage_perc
chr2:88016294-88016295,chr2,88016294,88016295,2,0,100.0
chr2:88549788-88549789,chr2,88549788,88549789,2,0,100.0
chr2:113818540-113818541,chr2,113818540,113818541,2,0,100.0
chr2:121019018-121019019,chr2,121019018,121019019,2,0,100.0
chr2:122661067-122661068,chr2,122661067,122661068,2,0,100.0
chr2:122999960-122999961,chr2,122999960,122999961,2,0,100.0
chr2:127700901-127700902,chr2,127700901,127700902,2,0,100.0
chr2:129878043-129878044,chr2,129878043,129878044,2,0,100.0
chr2:152176078-152176079,chr2,152176078,152176079,2,0,100.0
chr2:162732155-162732156,chr2,162732155,162732156,2,0,100.0
chr2:169096019-169096020,chr2,169096019,169096020,2,0,100.0
chr2:170816065-170816066,chr2,170816065,170816066,2,0,100.0
chr2:170818185-170818186,chr2,170818185,170818186,2,0,100.0
chr2:174337263-174337264,chr2,174337263,174337264,2,0,100.0
chr2:180056759-180056760,chr2,180056759,180056760,2,0,100.0
chr2:180057084-180057085,chr2,180057084,180057085,2,0,100.0
chr2:184597741-184597742,chr2,184597741,184597742,2,0,100.0
chr2:187994677-187994678,chr2,187994677,187994678,2,0,100.0
chr2:197804385-197804386,chr2,197804385,197804386,2,0,100.0
chr2:202023947-202023948,chr2,202023947,202023948,2,0,100.0
chr2:206803290-206803291,chr2,206803290,206803291,2,0,100.0
chr2:211868438-211868439,chr2,211868438,211868439,2,0,100.0
chr2:217264221-217264222,chr2,217264221,217264222,2,0,100.0
chr2:219965485-219965486,chr2,219965485,219965486,2,0,100.0
chr2:231177881-231177882,chr2,231177881,231177882,2,0,100.0
chr2:231666846-231666847,chr2,231666846,231666847,2,0,100.0
chr2:231666956-231666957,chr2,231666956,231666957,2,0,100.0
chr2:233912884-233912885,chr2,233912884,233912885,2,0,100.0
chr3:5023553-5023554,chr3,5023553,5023554,2,0,100.0
chr3:8599494-8599495,chr3,8599494,8599495,2,0,100.0
chr3:11118456-11118457,chr3,11118456,11118457,2,0,100.0
chr3:13283689-13283690,chr3,13283689,13283690,2,0,100.0
chr3:35505192-35505193,chr3,35505192,35505193,2,0,100.0
chr3:40309291-40309292,chr3,40309291,40309292,2,0,100.0
chr3:47380661-47380662,chr3,47380661,47380662,2,0,100.0
chr3:51390899-51390900,chr3,51390899,51390900,2,0,100.0
chr3:62876350-62876351,chr3,62876350,62876351,2,0,100.0
chr3:63400452-63400453,chr3,63400452,63400453,2,0,100.0
chr3:102124426-102124427,chr3,102124426,102124427,2,0,100.0
chr3:106913498-106913499,chr3,106913498,106913499,2,0,100.0
chr3:122383338-122383339,chr3,122383338,122383339,2,0,100.0
chr3:126180665-126180666,chr3,126180665,126180666,2,0,100.0
chr3:126212759-126212760,chr3,126212759,126212760,2,0,100.0
chr3:126226519-126226520,chr3,126226519,126226520,2,0,100.0
chr3:126476723-126476724,chr3,126476723,126476724,2,0,100.0
chr3:127159026-127159027,chr3,127159026,127159027,2,0,100.0
chr3:129626804-129626805,chr3,129626804,129626805,0,2,0.0
chr3:138594991-138594992,chr3,138594991,138594992,2,0,100.0
chr3:141486729-141486730,chr3,141486729,141486730,2,0,100.0
chr3:147141904-147141905,chr3,147141904,147141905,2,0,100.0
chr3:150130570-150130571,chr3,150130570,150130571,2,0,100.0
chr3:161770918-161770919,chr3,161770918,161770919,2,0,100.0
chr3:174768047-174768048,chr3,174768047,174768048,2,0,100.0
chr3:186746265-186746266,chr3,186746265,186746266,2,0,100.0
chr3:190380451-190380452,chr3,190380451,190380452,2,0,100.0
chr3:194089831-194089832,chr3,194089831,194089832,2,0,100.0
chr4:4866277-4866278,chr4,4866277,4866278,2,0,100.0
chr4:4870519-4870520,chr4,4870519,4870520,2,0,100.0
chr4:16990404-16990405,chr4,16990404,16990405,2,0,100.0
chr4:18022407-18022408,chr4,18022407,18022408,2,0,100.0
chr4:18106774-18106775,chr4,18106774,18106775,2,0,100.0
chr4:22235432-22235433,chr4,22235432,22235433,2,0,100.0
chr4:56530367-56530368,chr4,56530367,56530368,2,0,100.0
chr4:68906329-68906330,chr4,68906329,68906330,2,0,100.0
chr4:68906427-68906428,chr4,68906427,68906428,2,0,100.0
chr4:68906474-68906475,chr4,68906474,68906475,2,0,100.0
chr4:80213420-80213421,chr4,80213420,80213421,2,0,100.0
chr4:89308233-89308234,chr4,89308233,89308234,2,0,100.0
chr4:92256228-92256229,chr4,92256228,92256229,2,0,100.0
chr4:97042774-97042775,chr4,97042774,97042775,2,0,100.0
chr4:100317397-100317398,chr4,100317397,100317398,2,0,100.0
chr4:110620967-110620968,chr4,110620967,110620968,2,0,100.0
chr4:110620997-110620998,chr4,110620997,110620998,2,0,100.0
chr4:110633037-110633038,chr4,110633037,110633038,2,0,100.0
chr4:120067316-120067317,chr4,120067316,120067317,2,0,100.0
chr4:121380979-121380980,chr4,121380979,121380980,2,0,100.0
chr4:139178613-139178614,chr4,139178613,139178614,2,0,100.0
chr4:151326008-151326009,chr4,151326008,151326009,2,0,100.0
chr4:160836126-160836127,chr4,160836126,160836127,2,0,100.0
chr4:173074846-173074847,chr4,173074846,173074847,2,0,100.0
chr4:184330217-184330218,chr4,184330217,184330218,2,0,100.0
chr4:185128393-185128394,chr4,185128393,185128394,0,2,0.0
chr4:186191239-186191240,chr4,186191239,186191240,2,0,100.0
chr4:188400610-188400611,chr4,188400610,188400611,2,0,100.0
chr5:1682224-1682225,chr5,1682224,1682225,2,0,100.0
chr5:2149331-2149332,chr5,2149331,2149332,2,0,100.0
chr5:5394644-5394645,chr5,5394644,5394645,2,0,100.0
chr5:7849820-7849821,chr5,7849820,7849821,2,0,100.0
chr5:34474630-34474631,chr5,34474630,34474631,2,0,100.0
chr5:40835524-40835525,chr5,40835524,40835525,2,0,100.0
chr5:42909187-42909188,chr5,42909187,42909188,2,0,100.0
chr5:54583450-54583451,chr5,54583450,54583451,2,0,100.0
chr5:56814471-56814472,chr5,56814471,56814472,2,0,100.0
chr5:71924397-71924398,chr5,71924397,71924398,2,0,100.0
chr5:72557233-72557234,chr5,72557233,72557234,2,0,100.0
chr5:74377771-74377772,chr5,74377771,74377772,2,0,100.0
chr5:74543678-74543679,chr5,74543678,74543679,2,0,100.0
chr5:80257300-80257301,chr5,80257300,80257301,2,0,100.0
chr5:81852878-81852879,chr5,81852878,81852879,2,0,100.0
chr5:82910774-82910775,chr5,82910774,82910775,2,0,100.0
chr5:88830035-88830036,chr5,88830035,88830036,2,0,100.0
chr5:91280762-91280763,chr5,91280762,91280763,2,0,100.0
chr5:97099131-97099132,chr5,97099131,97099132,2,0,100.0
chr5:115816996-115816997,chr5,115816996,115816997,2,0,100.0
chr5:122751602-122751603,chr5,122751602,122751603,2,0,100.0
chr5:126057274-126057275,chr5,126057274,126057275,2,0,100.0
chr5:126057342-126057343,chr5,126057342,126057343,2,0,100.0
chr5:126057457-126057458,chr5,126057457,126057458,2,0,100.0
chr5:133050530-133050531,chr5,133050530,133050531,2,0,100.0
chr5:133050548-133050549,chr5,133050548,133050549,2,0,100.0
chr5:133050549-133050550,chr5,133050549,133050550,2,0,100.0
chr5:135399943-135399944,chr5,135399943,135399944,2,0,100.0
chr5:140303443-140303444,chr5,140303443,140303444,2,0,100.0
chr5:140401509-140401510,chr5,140401509,140401510,2,0,100.0
chr5:141513922-141513923,chr5,141513922,141513923,2,0,100.0
chr5:141735049-141735050,chr5,141735049,141735050,2,0,100.0
chr5:141763703-141763704,chr5,141763703,141763704,2,0,100.0
chr5:147869354-147869355,chr5,147869354,147869355,2,0,100.0
chr5:154478208-154478209,chr5,154478208,154478209,2,0,100.0
chr5:160186209-160186210,chr5,160186209,160186210,2,0,100.0
chr5:160903209-160903210,chr5,160903209,160903210,2,0,100.0
chr5:166430957-166430958,chr5,166430957,166430958,2,0,100.0
chr5:168579715-168579716,chr5,168579715,168579716,2,0,100.0
chr5:174600186-174600187,chr5,174600186,174600187,2,0,100.0
chr5:176416930-176416931,chr5,176416930,176416931,2,0,100.0
chr5:180293254-180293255,chr5,180293254,180293255,2,0,100.0
chr5:181037530-181037531,chr5,181037530,181037531,2,0,100.0
chr5:181161499-181161500,chr5,181161499,181161500,2,0,100.0
chr5:181188932-181188933,chr5,181188932,181188933,2,0,100.0
chr5:181222051-181222052,chr5,181222051,181222052,2,0,100.0
chr5:181281224-181281225,chr5,181281224,181281225,2,0,100.0
chr6:2634419-2634420,chr6,2634419,2634420,2,0,100.0
chr6:2634704-2634705,chr6,2634704,2634705,2,0,100.0
chr6:2849853-2849854,chr6,2849853,2849854,2,0,100.0
chr6:3816539-3816540,chr6,3816539,3816540,2,0,100.0
chr6:6003751-6003752,chr6,6003751,6003752,2,0,100.0
chr6:6007757-6007758,chr6,6007757,6007758,2,0,100.0
chr6:6737353-6737354,chr6,6737353,6737354,2,0,100.0
chr6:7261525-7261526,chr6,7261525,7261526,2,0,100.0
chr6:7261647-7261648,chr6,7261647,7261648,2,0,100.0
chr6:10386058-10386059,chr6,10386058,10386059,2,0,100.0
chr6:11480701-11480702,chr6,11480701,11480702,2,0,100.0
chr6:13328807-13328808,chr6,13328807,13328808,2,0,100.0
chr6:15022205-15022206,chr6,15022205,15022206,2,0,100.0
chr6:21384381-21384382,chr6,21384381,21384382,2,0,100.0
chr6:27230661-27230662,chr6,27230661,27230662,2,0,100.0
chr6:28757926-28757927,chr6,28757926,28757927,2,0,100.0
chr6:28758385-28758386,chr6,28758385,28758386,2,0,100.0
chr6:28838540-28838541,chr6,28838540,28838541,2,0,100.0
chr6:28838556-28838557,chr6,28838556,28838557,2,0,100.0
chr6:28896961-28896962,chr6,28896961,28896962,2,0,100.0
chr6:28943807-28943808,chr6,28943807,28943808,2,0,100.0
chr6:28944529-28944530,chr6,28944529,28944530,2,0,100.0
chr6:28982126-28982127,chr6,28982126,28982127,2,0,100.0
chr6:28982190-28982191,chr6,28982190,28982191,2,0,100.0
chr6:29016857-29016858,chr6,29016857,29016858,2,0,100.0
chr6:29753075-29753076,chr6,29753075,29753076,2,0,100.0
chr6:29964910-29964911,chr6,29964910,29964911,2,0,100.0
chr6:29964914-29964915,chr6,29964914,29964915,2,0,100.0
chr6:29965031-29965032,chr6,29965031,29965032,2,0,100.0
chr6:29965082-29965083,chr6,29965082,29965083,2,0,100.0
chr6:29965084-29965085,chr6,29965084,29965085,2,0,100.0
chr6:29965138-29965139,chr6,29965138,29965139,2,0,100.0
chr6:30908121-30908122,chr6,30908121,30908122,2,0,100.0
chr6:30955851-30955852,chr6,30955851,30955852,2,0,100.0
chr6:31111026-31111027,chr6,31111026,31111027,2,0,100.0
chr6:31111058-31111059,chr6,31111058,31111059,2,0,100.0
chr6:31197071-31197072,chr6,31197071,31197072,2,0,100.0
chr6:31198058-31198059,chr6,31198058,31198059,2,0,100.0
chr6:31198068-31198069,chr6,31198068,31198069,2,0,100.0
chr6:31542327-31542328,chr6,31542327,31542328,2,0,100.0
chr6:31620092-31620093,chr6,31620092,31620093,2,0,100.0
chr6:32255753-32255754,chr6,32255753,32255754,2,0,100.0
chr6:32602622-32602623,chr6,32602622,32602623,2,0,100.0
chr6:34462669-34462670,chr6,34462669,34462670,2,0,100.0
chr6:34757142-34757143,chr6,34757142,34757143,2,0,100.0
chr6:35148443-35148444,chr6,35148443,35148444,2,0,100.0
chr6:36423458-36423459,chr6,36423458,36423459,2,0,100.0
chr6:44043368-44043369,chr6,44043368,44043369,2,0,100.0
chr6:47656378-47656379,chr6,47656378,47656379,2,0,100.0
chr6:47656392-47656393,chr6,47656392,47656393,2,0,100.0
chr6:47656562-47656563,chr6,47656562,47656563,2,0,100.0
chr6:50715986-50715987,chr6,50715986,50715987,2,0,100.0
chr6:50850525-50850526,chr6,50850525,50850526,2,0,100.0
chr6:54580355-54580356,chr6,54580355,54580356,2,0,100.0
chr6:88443820-88443821,chr6,88443820,88443821,2,0,100.0
chr6:89021839-89021840,chr6,89021839,89021840,2,0,100.0
chr6:90414182-90414183,chr6,90414182,90414183,2,0,100.0
chr6:90414241-90414242,chr6,90414241,90414242,2,0,100.0
chr6:90494621-90494622,chr6,90494621,90494622,2,0,100.0
chr6:96925129-96925130,chr6,96925129,96925130,2,0,100.0
chr6:103707850-103707851,chr6,103707850,103707851,2,0,100.0
chr6:106804643-106804644,chr6,106804643,106804644,2,0,100.0
chr6:106804738-106804739,chr6,106804738,106804739,2,0,100.0
chr6:109978392-109978393,chr6,109978392,109978393,2,0,100.0
chr6:120622859-120622860,chr6,120622859,120622860,2,0,100.0
chr6:137180776-137180777,chr6,137180776,137180777,2,0,100.0
chr6:137278198-137278199,chr6,137278198,137278199,2,0,100.0
chr6:137495895-137495896,chr6,137495895,137495896,2,0,100.0
chr6:149941857-149941858,chr6,149941857,149941858,2,0,100.0
chr6:150005130-150005131,chr6,150005130,150005131,2,0,100.0
chr6:164096470-164096471,chr6,164096470,164096471,2,0,100.0
chr6:167245294-167245295,chr6,167245294,167245295,2,0,100.0
chr6:168332153-168332154,chr6,168332153,168332154,2,0,100.0
chr6:168332311-168332312,chr6,168332311,168332312,2,0,100.0
chr6:168332374-168332375,chr6,168332374,168332375,2,0,100.0
chr6:168332386-168332387,chr6,168332386,168332387,2,0,100.0
chr6:168332403-168332404,chr6,168332403,168332404,2,0,100.0
chr6:169810376-169810377,chr6,169810376,169810377,2,0,100.0
chr6:170245576-170245577,chr6,170245576,170245577,2,0,100.0
chr7:2844648-2844649,chr7,2844648,2844649,2,0,100.0
chr7:3194983-3194984,chr7,3194983,3194984,2,0,100.0
chr7:5822978-5822979,chr7,5822978,5822979,2,0,100.0
chr7:5823016-5823017,chr7,5823016,5823017,2,0,100.0
chr7:12569833-12569834,chr7,12569833,12569834,2,0,100.0
chr7:20120786-20120787,chr7,20120786,20120787,2,0,100.0
chr7:23181910-23181911,chr7,23181910,23181911,2,0,100.0
chr7:36100285-36100286,chr7,36100285,36100286,2,0,100.0
chr7:37508384-37508385,chr7,37508384,37508385,2,0,100.0
chr7:44101287-44101288,chr7,44101287,44101288,2,0,100.0
chr7:44848429-44848430,chr7,44848429,44848430,2,0,100.0
chr7:48035432-48035433,chr7,48035432,48035433,2,0,100.0
chr7:50554954-50554955,chr7,50554954,50554955,2,0,100.0
chr7:51590807-51590808,chr7,51590807,51590808,2,0,100.0
chr7:54664584-54664585,chr7,54664584,54664585,2,0,100.0
chr7:66619752-66619753,chr7,66619752,66619753,0,2,0.0
chr7:66654882-66654883,chr7,66654882,66654883,2,0,100.0
chr7:66845053-66845054,chr7,66845053,66845054,2,0,100.0
chr7:76318235-76318236,chr7,76318235,76318236,2,0,100.0
chr7:80644041-80644042,chr7,80644041,80644042,2,0,100.0
chr7:87152106-87152107,chr7,87152106,87152107,2,0,100.0
chr7:95596936-95596937,chr7,95596936,95596937,2,0,100.0
chr7:95596942-95596943,chr7,95596942,95596943,2,0,100.0
chr7:95772385-95772386,chr7,95772385,95772386,2,0,100.0
chr7:106343281-106343282,chr7,106343281,106343282,2,0,100.0
chr7:107025982-107025983,chr7,107025982,107025983,2,0,100.0
chr7:107857773-107857774,chr7,107857773,107857774,2,0,100.0
chr7:121798964-121798965,chr7,121798964,121798965,2,0,100.0
chr7:127651486-127651487,chr7,127651486,127651487,2,0,100.0
chr7:134351517-134351518,chr7,134351517,134351518,2,0,100.0
chr7:138169564-138169565,chr7,138169564,138169565,2,0,100.0
chr7:138458931-138458932,chr7,138458931,138458932,2,0,100.0
chr7:149066057-149066058,chr7,149066057,149066058,2,0,100.0
chr7:157432614-157432615,chr7,157432614,157432615,2,0,100.0
chr7:157432841-157432842,chr7,157432841,157432842,2,0,100.0
chr7:157432865-157432866,chr7,157432865,157432866,2,0,100.0
chr8:3077335-3077336,chr8,3077335,3077336,2,0,100.0
chr8:8641617-8641618,chr8,8641617,8641618,2,0,100.0
chr8:8701744-8701745,chr8,8701744,8701745,2,0,100.0
chr8:8701890-8701891,chr8,8701890,8701891,0,2,0.0
chr8:11466954-11466955,chr8,11466954,11466955,2,0,100.0
chr8:17922647-17922648,chr8,17922647,17922648,2,0,100.0
chr8:17922828-17922829,chr8,17922828,17922829,2,0,100.0
chr8:21610829-21610830,chr8,21610829,21610830,2,0,100.0
chr8:23523298-23523299,chr8,23523298,23523299,2,0,100.0
chr8:23785975-23785976,chr8,23785975,23785976,2,0,100.0
chr8:25458710-25458711,chr8,25458710,25458711,2,0,100.0
chr8:38386346-38386347,chr8,38386346,38386347,2,0,100.0
chr8:41172905-41172906,chr8,41172905,41172906,2,0,100.0
chr8:60651911-60651912,chr8,60651911,60651912,0,2,0.0
chr8:60653603-60653604,chr8,60653603,60653604,2,0,100.0
chr8:61139982-61139983,chr8,61139982,61139983,2,0,100.0
chr8:64373121-64373122,chr8,64373121,64373122,2,0,100.0
chr8:66112750-66112751,chr8,66112750,66112751,2,0,100.0
chr8:66114639-66114640,chr8,66114639,66114640,2,0,100.0
chr8:66428573-66428574,chr8,66428573,66428574,2,0,100.0
chr8:73353595-73353596,chr8,73353595,73353596,2,0,100.0
chr8:83130987-83130988,chr8,83130987,83130988,2,0,100.0
chr8:86828618-86828619,chr8,86828618,86828619,2,0,100.0
chr8:94020179-94020180,chr8,94020179,94020180,2,0,100.0
chr8:101491488-101491489,chr8,101491488,101491489,2,0,100.0
chr8:102537785-102537786,chr8,102537785,102537786,2,0,100.0
chr8:102979784-102979785,chr8,102979784,102979785,2,0,100.0
chr8:102999331-102999332,chr8,102999331,102999332,2,0,100.0
chr8:107632290-107632291,chr8,107632290,107632291,2,0,100.0
chr8:118738344-118738345,chr8,118738344,118738345,2,0,100.0
chr8:124474525-124474526,chr8,124474525,124474526,2,0,100.0
chr8:126557797-126557798,chr8,126557797,126557798,2,0,100.0
chr8:129983901-129983902,chr8,129983901,129983902,2,0,100.0
chr8:130000240-130000241,chr8,130000240,130000241,2,0,100.0
chr8:143977245-143977246,chr8,143977245,143977246,0,2,0.0
chr8:144508410-144508411,chr8,144508410,144508411,2,0,100.0
chr9:4490133-4490134,chr9,4490133,4490134,2,0,100.0
chr9:6665096-6665097,chr9,6665096,6665097,2,0,100.0
chr9:8070997-8070998,chr9,8070997,8070998,2,0,100.0
chr9:14547557-14547558,chr9,14547557,14547558,2,0,100.0
chr9:19048958-19048959,chr9,19048958,19048959,2,0,100.0
chr9:19934694-19934695,chr9,19934694,19934695,2,0,100.0
chr9:21975017-21975018,chr9,21975017,21975018,2,0,100.0
chr9:35599924-35599925,chr9,35599924,35599925,2,0,100.0
chr9:35943785-35943786,chr9,35943785,35943786,2,0,100.0
chr9:36759908-36759909,chr9,36759908,36759909,2,0,100.0
chr9:38195758-38195759,chr9,38195758,38195759,2,0,100.0
chr9:70258335-70258336,chr9,70258335,70258336,2,0,100.0
chr9:84668246-84668247,chr9,84668246,84668247,2,0,100.0
chr9:89318218-89318219,chr9,89318218,89318219,2,0,100.0
chr9:94554605-94554606,chr9,94554605,94554606,2,0,100.0
chr9:95434360-95434361,chr9,95434360,95434361,2,0,100.0
chr9:95552835-95552836,chr9,95552835,95552836,2,0,100.0
chr9:96687007-96687008,chr9,96687007,96687008,2,0,100.0
chr9:99159821-99159822,chr9,99159821,99159822,2,0,100.0
chr9:101533486-101533487,chr9,101533486,101533487,2,0,100.0
chr9:104968788-104968789,chr9,104968788,104968789,2,0,100.0
chr9:110521233-110521234,chr9,110521233,110521234,2,0,100.0
chr9:113150864-113150865,chr9,113150864,113150865,2,0,100.0
chr9:124145011-124145012,chr9,124145011,124145012,2,0,100.0
chr9:133003750-133003751,chr9,133003750,133003751,2,0,100.0
chr9:134175380-134175381,chr9,134175380,134175381,2,0,100.0
chr9:136326397-136326398,chr9,136326397,136326398,2,0,100.0
chr9:136568169-136568170,chr9,136568169,136568170,2,0,100.0
chr9:136623714-136623715,chr9,136623714,136623715,2,0,100.0
chr9:136950051-136950052,chr9,136950051,136950052,0,2,0.0
chr9:137129630-137129631,chr9,137129630,137129631,2,0,100.0
chr10:5978056-5978057,chr10,5978056,5978057,0,2,0.0
chr10:5978137-5978138,chr10,5978137,5978138,0,2,0.0
chr10:11642042-11642043,chr10,11642042,11642043,2,0,100.0
chr10:14991570-14991571,chr10,14991570,14991571,2,0,100.0
chr10:20370105-20370106,chr10,20370105,20370106,2,0,100.0
chr10:20371303-20371304,chr10,20371303,20371304,2,0,100.0
chr10:29159837-29159838,chr10,29159837,29159838,2,0,100.0
chr10:42932734-42932735,chr10,42932734,42932735,2,0,100.0
chr10:44865145-44865146,chr10,44865145,44865146,2,0,100.0
chr10:46284757-46284758,chr10,46284757,46284758,0,2,0.0
chr10:46557078-46557079,chr10,46557078,46557079,2,0,100.0
chr10:49679453-49679454,chr10,49679453,49679454,2,0,100.0
chr10:53022752-53022753,chr10,53022752,53022753,2,0,100.0
chr10:60762636-60762637,chr10,60762636,60762637,2,0,100.0
chr10:69769484-69769485,chr10,69769484,69769485,2,0,100.0
chr10:69801242-69801243,chr10,69801242,69801243,2,0,100.0
chr10:73785304-73785305,chr10,73785304,73785305,2,0,100.0
chr10:73785358-73785359,chr10,73785358,73785359,2,0,100.0
chr10:73785492-73785493,chr10,73785492,73785493,2,0,100.0
chr10:89208345-89208346,chr10,89208345,89208346,2,0,100.0
chr10:97318987-97318988,chr10,97318987,97318988,2,0,100.0
chr10:98321416-98321417,chr10,98321416,98321417,2,0,100.0
chr10:102743925-102743926,chr10,102743925,102743926,2,0,100.0
chr10:119687835-119687836,chr10,119687835,119687836,2,0,100.0
chr10:123972840-123972841,chr10,123972840,123972841,2,0,100.0
chr10:124916746-124916747,chr10,124916746,124916747,2,0,100.0
chr10:131776411-131776412,chr10,131776411,131776412,2,0,100.0
chr11:3203645-3203646,chr11,3203645,3203646,2,0,100.0
chr11:3203710-3203711,chr11,3203710,3203711,2,0,100.0
chr11:3203721-3203722,chr11,3203721,3203722,2,0,100.0
chr11:3643025-3643026,chr11,3643025,3643026,2,0,100.0
chr11:9573414-9573415,chr11,9573414,9573415,2,0,100.0
chr11:10308137-10308138,chr11,10308137,10308138,2,0,100.0
chr11:20163812-20163813,chr11,20163812,20163813,2,0,100.0
chr11:26228215-26228216,chr11,26228215,26228216,2,0,100.0
chr11:34105298-34105299,chr11,34105298,34105299,2,0,100.0
chr11:62706693-62706694,chr11,62706693,62706694,2,0,100.0
