seqnames	start	end	width	strand	ID	Start_Amp	End_Amp	Gene
chr14	106423520	106423719	200	*	AMPL879880	1	200	IGHV4-39
chr14	106470846	106471072	227	*	AMPL879881	1	227	IGHV3-43
chr14	106472690	106472908	219	*	AMPL879882	1	219	IGHV3-43
chr14	106538576	106538822	247	*	AMPL879883	1	247	IGHV3-48
chr14	106538843	106539099	257	*	AMPL879884	1	257	IGHV3-48
chr14	106715058	106715301	244	*	AMPL879885	1	244	IGHV1-69
chr14	106715599	106715855	257	*	AMPL879886	1	257	IGHV1-69
chr14	106724217	106724441	225	*	AMPL879887	1	225	IGHV2-70
chr14	106724571	106724815	245	*	AMPL879888	1	245	IGHV2-70
chr14	106771702	106771941	240	*	AMPL879889	1	240	IGHV2-70
chr16	3736530	3736735	206	*	AMPL879890	1	206	CREBBP
chr16	3739393	3739618	226	*	AMPL879891	1	226	CREBBP
chr16	3757821	3758048	228	*	AMPL879892	1	228	CREBBP
chr16	3793297	3793501	205	*	AMPL879893	1	205	CREBBP
chr16	11255033	11255292	260	*	AMPL879894	1	260	SOCS1
chr17	7674731	7674938	208	*	AMPL879895	1	208	TP53
chr18	63126086	63126312	227	*	AMPL879896	1	227	BCL2
chr18	63317815	63318073	259	*	AMPL879897	1	259	BCL2
chr18	63318121	63318335	215	*	AMPL879898	1	215	BCL2
chr18	63318730	63318954	225	*	AMPL879899	1	225	BCL2
chr18	63318998	63319213	216	*	AMPL879900	1	216	BCL2
chr18	63319449	63319692	244	*	AMPL879901	1	244	BCL2
chr18	63319694	63319924	231	*	AMPL879902	1	231	BCL2
chr18	63320957	63321167	211	*	AMPL879903	1	211	BCL2
chr18	63321202	63321440	239	*	AMPL879904	1	239	BCL2
chr22	22352706	22352932	227	*	AMPL879905	1	227	IGLV5-48
chr22	22880552	22880795	244	*	AMPL879906	1	244	IGLV3-1
chr22	22885406	22885624	219	*	AMPL879907	1	219	IGLL5
chr22	22885760	22885997	238	*	AMPL879908	1	238	IGLL5
chr22	22887490	22887706	217	*	AMPL879909	1	217	IGLL5
chr22	22901699	22901913	215	*	AMPL879910	1	215	IGLJ3
chr22	28799895	28800092	198	*	AMPL879911	1	198	XBP1
chr22	41092809	41093022	214	*	AMPL879912	1	214	EP300
chr22	41169318	41169553	236	*	AMPL879913	1	236	EP300
chr22	41172583	41172817	235	*	AMPL879914	1	235	EP300
chrX	151404956	151405187	232	*	AMPL879915	1	232	VMA21
